snr,cqi,ele_angle,mcs
-8.48381747958476,0.0,0.0,2
-8.48381747958476,0.0,5.0,2
-8.48381747958476,0.0,10.0,2
-8.48381747958476,0.0,15.0,2
-8.48381747958476,0.0,20.0,3
-8.48381747958476,0.0,25.0,4
-8.48381747958476,0.0,30.0,4
-8.48381747958476,0.0,35.0,5
-8.48381747958476,0.0,40.0,5
-8.48381747958476,0.0,45.0,5
-8.48381747958476,0.0,50.0,5
-8.48381747958476,0.0,55.0,5
-8.48381747958476,0.0,60.0,5
-8.48381747958476,0.0,65.0,5
-8.48381747958476,0.0,70.0,7
-8.48381747958476,1.0,0.0,2
-8.48381747958476,1.0,5.0,1
-8.48381747958476,1.0,10.0,1
-8.48381747958476,1.0,15.0,2
-8.48381747958476,1.0,20.0,3
-8.48381747958476,1.0,25.0,3
-8.48381747958476,1.0,30.0,4
-8.48381747958476,1.0,35.0,4
-8.48381747958476,1.0,40.0,4
-8.48381747958476,1.0,45.0,4
-8.48381747958476,1.0,50.0,4
-8.48381747958476,1.0,55.0,4
-8.48381747958476,1.0,60.0,4
-8.48381747958476,1.0,65.0,4
-8.48381747958476,1.0,70.0,5
-8.48381747958476,2.0,0.0,2
-8.48381747958476,2.0,5.0,2
-8.48381747958476,2.0,10.0,2
-8.48381747958476,2.0,15.0,2
-8.48381747958476,2.0,20.0,3
-8.48381747958476,2.0,25.0,3
-8.48381747958476,2.0,30.0,4
-8.48381747958476,2.0,35.0,4
-8.48381747958476,2.0,40.0,4
-8.48381747958476,2.0,45.0,4
-8.48381747958476,2.0,50.0,4
-8.48381747958476,2.0,55.0,4
-8.48381747958476,2.0,60.0,4
-8.48381747958476,2.0,65.0,4
-8.48381747958476,2.0,70.0,4
-8.48381747958476,3.0,0.0,3
-8.48381747958476,3.0,5.0,2
-8.48381747958476,3.0,10.0,2
-8.48381747958476,3.0,15.0,3
-8.48381747958476,3.0,20.0,3
-8.48381747958476,3.0,25.0,4
-8.48381747958476,3.0,30.0,4
-8.48381747958476,3.0,35.0,4
-8.48381747958476,3.0,40.0,4
-8.48381747958476,3.0,45.0,4
-8.48381747958476,3.0,50.0,4
-8.48381747958476,3.0,55.0,4
-8.48381747958476,3.0,60.0,4
-8.48381747958476,3.0,65.0,4
-8.48381747958476,3.0,70.0,5
-8.48381747958476,4.0,0.0,3
-8.48381747958476,4.0,5.0,3
-8.48381747958476,4.0,10.0,3
-8.48381747958476,4.0,15.0,3
-8.48381747958476,4.0,20.0,4
-8.48381747958476,4.0,25.0,4
-8.48381747958476,4.0,30.0,4
-8.48381747958476,4.0,35.0,5
-8.48381747958476,4.0,40.0,5
-8.48381747958476,4.0,45.0,5
-8.48381747958476,4.0,50.0,5
-8.48381747958476,4.0,55.0,5
-8.48381747958476,4.0,60.0,5
-8.48381747958476,4.0,65.0,5
-8.48381747958476,4.0,70.0,5
-8.48381747958476,5.0,0.0,4
-8.48381747958476,5.0,5.0,4
-8.48381747958476,5.0,10.0,4
-8.48381747958476,5.0,15.0,4
-8.48381747958476,5.0,20.0,4
-8.48381747958476,5.0,25.0,4
-8.48381747958476,5.0,30.0,5
-8.48381747958476,5.0,35.0,5
-8.48381747958476,5.0,40.0,5
-8.48381747958476,5.0,45.0,5
-8.48381747958476,5.0,50.0,5
-8.48381747958476,5.0,55.0,5
-8.48381747958476,5.0,60.0,6
-8.48381747958476,5.0,65.0,6
-8.48381747958476,5.0,70.0,6
-8.48381747958476,6.0,0.0,4
-8.48381747958476,6.0,5.0,4
-8.48381747958476,6.0,10.0,4
-8.48381747958476,6.0,15.0,4
