snr,cqi,mcs
-8.4,0.0,2
-8.4,1.0,2
-8.4,2.0,2
-8.4,3.0,2
-8.4,4.0,2
-8.4,5.0,2
-8.4,6.0,2
-8.4,7.0,2
-8.4,8.0,2
-8.4,9.0,2
-8.4,10.0,2
-8.4,11.0,2
-8.4,12.0,2
-8.4,13.0,2
-8.4,14.0,2
-8.4,15.0,2
-8.200000000000001,0.0,2
-8.200000000000001,1.0,2
-8.200000000000001,2.0,2
-8.200000000000001,3.0,2
-8.200000000000001,4.0,2
-8.200000000000001,5.0,2
-8.200000000000001,6.0,2
-8.200000000000001,7.0,2
-8.200000000000001,8.0,2
-8.200000000000001,9.0,2
-8.200000000000001,10.0,2
-8.200000000000001,11.0,2
-8.200000000000001,12.0,2
-8.200000000000001,13.0,2
-8.200000000000001,14.0,2
-8.200000000000001,15.0,2
-8.0,0.0,3
-8.0,1.0,3
-8.0,2.0,3
-8.0,3.0,3
-8.0,4.0,3
-8.0,5.0,3
-8.0,6.0,3
-8.0,7.0,3
-8.0,8.0,3
-8.0,9.0,3
-8.0,10.0,3
-8.0,11.0,3
-8.0,12.0,3
-8.0,13.0,3
-8.0,14.0,3
-8.0,15.0,3
-7.800000000000001,0.0,3
-7.800000000000001,1.0,3
-7.800000000000001,2.0,3
-7.800000000000001,3.0,3
-7.800000000000001,4.0,3
-7.800000000000001,5.0,3
-7.800000000000001,6.0,3
-7.800000000000001,7.0,3
-7.800000000000001,8.0,3
-7.800000000000001,9.0,3
-7.800000000000001,10.0,3
-7.800000000000001,11.0,3
-7.800000000000001,12.0,3
-7.800000000000001,13.0,3
-7.800000000000001,14.0,3
-7.800000000000001,15.0,3
-7.6000000000000005,0.0,4
-7.6000000000000005,1.0,4
-7.6000000000000005,2.0,4
-7.6000000000000005,3.0,4
-7.6000000000000005,4.0,4
-7.6000000000000005,5.0,4
-7.6000000000000005,6.0,4
-7.6000000000000005,7.0,4
-7.6000000000000005,8.0,4
-7.6000000000000005,9.0,4
-7.6000000000000005,10.0,4
-7.6000000000000005,11.0,4
-7.6000000000000005,12.0,4
-7.6000000000000005,13.0,4
-7.6000000000000005,14.0,4
-7.6000000000000005,15.0,4
-7.4,0.0,4
-7.4,1.0,4
-7.4,2.0,4
-7.4,3.0,4
-7.4,4.0,4
-7.4,5.0,4
-7.4,6.0,4
-7.4,7.0,4
-7.4,8.0,4
-7.4,9.0,4
-7.4,10.0,4
-7.4,11.0,4
-7.4,12.0,4
-7.4,13.0,4
-7.4,14.0,4
-7.4,15.0,4
-7.2,0.0,4
-7.2,1.0,4
-7.2,2.0,4
-7.2,3.0,4
-7.2,4.0,4
-7.2,5.0,4
-7.2,6.0,4
-7.2,7.0,4
-7.2,8.0,4
-7.2,9.0,4
-7.2,10.0,4
-7.2,11.0,4
-7.2,12.0,4
-7.2,13.0,4
-7.2,14.0,4
-7.2,15.0,4
-7.0,0.0,4
-7.0,1.0,4
-7.0,2.0,4
-7.0,3.0,4
-7.0,4.0,4
-7.0,5.0,4
-7.0,6.0,4
-7.0,7.0,4
-7.0,8.0,4
-7.0,9.0,4
-7.0,10.0,4
-7.0,11.0,4
-7.0,12.0,4
-7.0,13.0,4
-7.0,14.0,4
-7.0,15.0,4
-6.800000000000001,0.0,4
-6.800000000000001,1.0,4
-6.800000000000001,2.0,4
-6.800000000000001,3.0,4
-6.800000000000001,4.0,4
-6.800000000000001,5.0,4
-6.800000000000001,6.0,4
-6.800000000000001,7.0,4
-6.800000000000001,8.0,4
-6.800000000000001,9.0,4
-6.800000000000001,10.0,4
-6.800000000000001,11.0,4
-6.800000000000001,12.0,4
-6.800000000000001,13.0,4
-6.800000000000001,14.0,4
-6.800000000000001,15.0,4
-6.6000000000000005,0.0,4
-6.6000000000000005,1.0,4
-6.6000000000000005,2.0,4
-6.6000000000000005,3.0,4
-6.6000000000000005,4.0,4
-6.6000000000000005,5.0,4
-6.6000000000000005,6.0,4
-6.6000000000000005,7.0,4
-6.6000000000000005,8.0,4
-6.6000000000000005,9.0,4
-6.6000000000000005,10.0,4
-6.6000000000000005,11.0,4
-6.6000000000000005,12.0,4
-6.6000000000000005,13.0,4
-6.6000000000000005,14.0,4
-6.6000000000000005,15.0,4
-6.4,0.0,4
-6.4,1.0,4
-6.4,2.0,4
-6.4,3.0,4
-6.4,4.0,4
-6.4,5.0,4
-6.4,6.0,4
-6.4,7.0,4
-6.4,8.0,4
-6.4,9.0,4
-6.4,10.0,4
-6.4,11.0,4
-6.4,12.0,4
-6.4,13.0,4
-6.4,14.0,4
-6.4,15.0,4
-6.2,0.0,4
-6.2,1.0,4
-6.2,2.0,4
-6.2,3.0,4
-6.2,4.0,4
-6.2,5.0,4
-6.2,6.0,4
-6.2,7.0,4
-6.2,8.0,4
-6.2,9.0,4
-6.2,10.0,4
